Province,ProvinceCode,District,DistrictCode,FullName,Lat,Lon
İzmir,35,Buca,1780,"Buca, İzmir",38.333736,27.291100
Burdur,15,Bucak,1211,"Bucak, Burdur",37.456548,30.589800
Aydın,9,Buharkent,1781,"Buharkent, Aydın",37.963903,28.743000
Giresun,28,Bulancak,1212,"Bulancak, Giresun",40.937513,38.232000
Muş,49,Bulanık,1213,"Bulanık, Muş",39.096560,42.268100
Denizli,20,Buldan,1214,"Buldan, Denizli",38.044206,28.834600
Kayseri,38,Bünyan,1218,"Bünyan, Kayseri",38.855062,35.852100
Burdur,15,Burdur Merkez,1215,"Burdur Merkez, Burdur",37.718336,30.282300
Balıkesir,10,Burhaniye,1216,"Burhaniye, Balıkesir",39.503055,26.980200
İstanbul,34,Büyükçekmece,1782,"Büyükçekmece, İstanbul",41.053402,28.556500
Bursa,16,Büyükorhan,1783,"Büyükorhan, Bursa",39.739469,28.906300
Kahramanmaraş,46,Çağlayancerit,1785,"Çağlayancerit, Kahramanmaraş",37.719165,37.340000
Denizli,20,Çal,1224,"Çal, Denizli",38.083013,29.397300
Van,65,Çaldıran,1786,"Çaldıran, Van",39.142000,43.914000
Niğde,51,Çamardı,1225,"Çamardı, Niğde",37.833488,34.985700
Ordu,52,Çamaş,1891,"Çamaş, Ordu",40.895375,37.521100
Denizli,20,Çameli,1226,"Çameli, Denizli",37.012720,29.278600
Ankara,6,Çamlıdere,1227,"Çamlıdere, Ankara",40.491620,32.476500
Rize,53,Çamlıhemşin,1228,"Çamlıhemşin, Rize",40.878269,41.014800
Mersin,33,Çamlıyayla,1892,"Çamlıyayla, Mersin",37.279960,34.552800
Giresun,28,Çamoluk,1893,"Çamoluk, Giresun",40.129453,38.747500
Çanakkale,17,Çan,1229,"Çan, Çanakkale",40.028167,27.046600
Giresun,28,Çanakçı,1894,"Çanakçı, Giresun",40.917088,39.009700
Çanakkale,17,Çanakkale Merkez,1230,"Çanakkale Merkez, Çanakkale",40.146720,26.408600
Yozgat,66,Çandır,1895,"Çandır, Yozgat",39.243376,35.517200
Samsun,55,Canik,2073,"Canik, Samsun",41.279703,36.336100
Ankara,6,Çankaya,1231,"Çankaya, Ankara",39.845184,32.921200
Çankırı,18,Çankırı Merkez,1232,"Çankırı Merkez, Çankırı",40.600207,33.616200
Denizli,20,Çardak,1233,"Çardak, Denizli",37.825035,29.668300
Samsun,55,Çarşamba,1234,"Çarşamba, Samsun",41.198523,36.721800
Trabzon,61,Çarşıbaşı,1896,"Çarşıbaşı, Trabzon",41.040937,39.406300
Erzurum,25,Çat,1235,"Çat, Erzurum",39.612047,40.977600
Van,65,Çatak,1236,"Çatak, Van",38.123165,43.088200
İstanbul,34,Çatalca,1237,"Çatalca, İstanbul",41.142259,28.457500
Ordu,52,Çatalpınar,1897,"Çatalpınar, Ordu",41.105968,37.256700
Kastamonu,37,Çatalzeytin,1238,"Çatalzeytin, Kastamonu",41.873097,34.225600
Kütahya,43,Çavdarhisar,1898,"Çavdarhisar, Kütahya",39.196872,29.617200
Burdur,15,Çavdır,1899,"Çavdır, Burdur",37.121819,29.742600
Afyonkarahisar,3,Çay,1239,"Çay, Afyonkarahisar",38.592257,31.026000
Ordu,52,Çaybaşı,1900,"Çaybaşı, Ordu",41.017434,37.098500
Zonguldak,67,Çaycuma,1240,"Çaycuma, Zonguldak",41.428644,32.077200
Rize,53,Çayeli,1241,"Çayeli, Rize",41.090154,40.727500
Yozgat,66,Çayıralan,1242,"Çayıralan, Yozgat",39.304892,35.644500
Erzincan,24,Çayırlı,1243,"Çayırlı, Erzincan",39.826369,39.951300
Kocaeli,41,Çayırova,2059,"Çayırova, Kocaeli",40.836142,29.383100
Trabzon,61,Çaykara,1244,"Çaykara, Trabzon",40.748484,40.242400
Yozgat,66,Çekerek,1245,"Çekerek, Yozgat",40.071085,35.497500
İstanbul,34,Çekmeköy,2052,"Çekmeköy, İstanbul",41.104235,29.317700
Kırıkkale,71,Çelebi,1901,"Çelebi, Kırıkkale",39.464667,33.525600
Adıyaman,2,Çelikhan,1246,"Çelikhan, Adıyaman",38.097555,38.274400
Konya,42,Çeltik,1902,"Çeltik, Konya",39.023429,31.790600
Burdur,15,Çeltikçi,1903,"Çeltikçi, Burdur",37.525446,30.458800
Tunceli,62,Çemişgezek,1247,"Çemişgezek, Tunceli",39.062575,38.912400
Çankırı,18,Çerkeş,1248,"Çerkeş, Çankırı",40.811325,32.891100
Tekirdağ,59,Çerkezköy,1250,"Çerkezköy, Tekirdağ",41.282360,28.000600
Diyarbakır,21,Çermik,1249,"Çermik, Diyarbakır",38.135092,39.456100
İzmir,35,Çeşme,1251,"Çeşme, İzmir",38.324311,26.303200
